dp,vp,security_preference
100,15,5
0,90,3
100,15,6
200,105,9
50,70,2
50,100,4
70,100,6
180,175,7
150,100,7
140,200,6
180,50,8
200,150,10
17,155,4
150,25,7
125,125,5
210,75,10
300,160,10
0,120,1
80,125,5
175,25,8
175,150,8
100,125,6
100,100,6
180,95,6
130,50,6
200,50,8
50,50,2
0,125,3
25,100,3
225,125,10
150,5,8
250,50,10
200,75,10
50,70,4
30,13,3
200,125,10
209,85,9
200,95,10
200,25,9
102,110,4
150,70,9
230,110,8
35,180,4
200,100,9
120,110,8
180,70,6
35,100,3
275,100,9
110,150,5
200,5,10
90,87,4
85,100,5
250,85,10
195,99,8
100,75,5
20,127,2
180,125,10
120,150,5
250,80,10
0,150,1
225,160,10
50,100,6
150,50,8
175,100,9
52,165,3
200,150,8
200,150,9
200,100,9
50,100,3
190,65,7
140,145,8
50,40,3
100,100,4
200,150,9
181,125,7
25,125,6
140,68,7
150,50,6
275,66,10
100,60,5
50,50,3
125,175,6
125,125,6
145,0,5
275,70,10
20,150,3
190,40,9
100,60,6
50,150,4
180,150,6
40,50,3
140,80,6
100,125,5
200,150,7
85,90,5
110,100,6
9,125,3
200,60,10
50,178,3
170,100,9
60,150,4
110,200,6
26,0,3
100,150,6
50,25,4
75,53,6
150,25,8
60,36,5
160,100,6
14,130,4
