Are you currently a BYU undergraduate student?,Are you enrolled full-time this semester (12 or more credits)?,"During a typical semester, do you purchase lunch or dinner for yourself at least once per week?",What specific meal are you thinking of as your go-to fast-food option?,"On a scale from 1 to 10, how appealing is FreshPrep Bowl to you overall?
(1 = Not appealing at all, 10 = Extremely appealing) - Group",wowA,What do you like most about FreshPrep Bowl?,What concerns you or gives you pause about FreshPrep Bowl?,"On a scale from 1 to 10, how appealing is your go-to fast-food meal to you overall? - Group",wowB,wtpA,wtpB,qA_00,qB_00,qA_0B,qB_0B,qA_A0,qB_A0,qA_AB,qB_AB,How many credits are you taking this semester?,Which best describes your primary field of study? - Selected Choice,Which best describes your primary field of study? - Other - Text,How often do you purchase lunch or dinner on or near campus during a typical week?,Which best describes how you typically decide what to eat during the week?,How constrained does your food budget feel during a typical semester?,How important is eating a healthier option when choosing meals during the week?
,,,,,,,,,,12,12,8,2,10,0,4,6,4,3,Less than 12 credits,Business,,About half the time,"I sometimes plan, but often decide as I go",4,Extremely important
Yes,Yes,Yes,A,Passive,7,Healthy,Cost,Detractor,5,8,8,7,7,14,0,0,14,2,1,12-14 credits,Business,,About half the time,"I sometimes plan, but often decide as I go",3,Very important
Yes,Yes,Yes,Subway Sandwich ,Passive,8,I like that it is very healthy and probably still tastes good,It may not be easy to eat as I walk ,Passive,8,12,12,14,14,14,0,0,14,0,1,12-14 credits,Business,,Sometimes,I often delay or skip meals due to time pressure,2,Moderately important
Yes,Yes,Yes,one-fast-food-meal,Detractor,6,The protein of my choice,The description of this food makes it sound not so appealing,Promoter,10,8,15,0,7,7,0,0,7,3,0,15-18 credits,Business,,Sometimes,I usually decide in the moment based on convenience,Not at all constrained,Moderately important
Yes,Yes,Yes,Chipotle Burrito,Passive,8,It can be eaten hot or cold and it's already prepared.,If the protein source is enough,Promoter,10,9,13,5,10,7,4,3,14,3,4,12-14 credits,Business,,About half the time,"I sometimes plan, but often decide as I go",4,Extremely important
No,Yes,Yes,Chic Fila,Promoter,10,"Higher protein levels, healthier option, and veggie source","Some bowls don’t have fresh protein source. Also, sometimes more veggies than filling ingredients. Sometimes you eat the meal and are still hungry afterwards or not satisfied.",Promoter,10,18,15,14,0,14,0,2,12,3,2,15-18 credits,Business,,Sometimes,I usually decide in the moment based on convenience,4,Very important
Yes,Yes,Yes,cafe rio,Promoter,9,that it is fast and I can bring it to work/school. Like meal prep but without doing it,that it isn't enough food. Or that it is in plastic containers (prefer glass).,Promoter,9,5,13,7,7,11,1,7,7,6,1,15-18 credits,Business,,Sometimes,I plan meals ahead of time,3,Very important
Yes,Yes,Yes,A,Promoter,9,healthy,may not be healthy enough or taste bad,Detractor,3,12,8,6,0,6,0,2,3,2,0,12-14 credits,Business,,Sometimes,"I sometimes plan, but often decide as I go",2,Extremely important
Yes,Yes,Yes,B,Detractor,6,Protein,It won’t be very fresh.,Promoter,10,5,12,0,3,0,3,0,3,0,3,15-18 credits,Business,,Sometimes,"I sometimes plan, but often decide as I go",Not at all constrained,Moderately important
Yes,Yes,No,Cafe Rio Salad,Passive,7,I like how quick I can eat it and that it is a fast/healthy option. ,How much it costs. ,Passive,8,4,5,10,3,10,1,1,3,1,0,15-18 credits,Business,,Never,I often delay or skip meals due to time pressure,Extremely constrained,Extremely important
Yes,Yes,Yes,Product B,Detractor,2,It is a healthy option,Probably expensive,Passive,8,10,10,0,4,1,1,0,4,0,1,12-14 credits,Business,,Sometimes,I often delay or skip meals due to time pressure,Extremely constrained,Moderately important
Yes,Yes,Yes,Carls Jr- Famous Star meal,Passive,7,balanced meal,"unsure of price
Is it precooked and cold or hot?",Passive,7,8,7,2,2,10,1,2,10,2,2,15-18 credits,Business,,Sometimes,"I sometimes plan, but often decide as I go",2,Moderately important
Yes,Yes,No,Freshprep - I like anything healthy,Passive,8,Healthiness and ease,It has to be cheaper or worth the time I save making my own meal prep meals. ,Detractor,0,6,0,21,0,21,0,1,0,1,0,15-18 credits,Business,,Sometimes,"I sometimes plan, but often decide as I go",Extremely constrained,Extremely important
Yes,No,Yes,McDonalds $5 meal deal,Passive,8,I like that it is healthy and very low prep time if at all.,"As with most healthy things, i just don't think it would be more expensive and become less appealing because of price. I usually look for some of the cheapest deals.",Detractor,6,8,6,7,0,7,0,0,7,3,4,Less than 12 credits,Business,,About half the time,I usually decide in the moment based on convenience,Extremely constrained,Moderately important
Yes,Yes,No,Zao Asain cafe rice bowl,Detractor,5,It's well balanced and convenient ,I have no idea how good the food is,Passive,7,0,15,2,5,6,1,2,5,6,1,15-18 credits,Business,,Never,I often delay or skip meals due to time pressure,Extremely constrained,Moderately important
Yes,Yes,Yes,McDonalds,Passive,7,Balanced meal,Freshness of food,Passive,7,12,12,4,3,4,1,0,3,1,1,15-18 credits,Business,,Sometimes,"I sometimes plan, but often decide as I go",2,Moderately important
Yes,Yes,No,"Costa Vida - meat, veggies, carbs bowl/salad",Detractor,3,I like that it is a healthier option,"It sounds like the exact same thing as Choices, which is a restaurant that is already in the WILK. It isn't very good and if that was a meal prep that someone had to buy, I think they would get sick of it so fast...if it was something similar Aubergine, that would be a lot better. It really depends on the quality of food. ",Detractor,1,8,11,4,1,5,0,3,2,4,1,More than 18 credits,Business,,Almost always,"I sometimes plan, but often decide as I go",2,Very important
Yes,Yes,Yes,Sandwich,Passive,8,It's fresh,It's expensive,Passive,7,8,10,7,3,7,0,0,7,5,2,15-18 credits,Business,,Sometimes,I usually decide in the moment based on convenience,2,Very important
Yes,Yes,Yes,Burger,Detractor,0,I don’t,There are lots of services already and im loyal to my brands,Promoter,10,0,21,0,9,2,3,0,10,3,1,12-14 credits,Business,,Sometimes,"I sometimes plan, but often decide as I go",3,Slightly important
Yes,Yes,Yes,Daves hot chicken,Passive,8,It seems like it would be clean ingredients and overall very healthy.,Food like this tends to be either too expensive or they do not put enough food in it.,Promoter,10,12,25,10,5,10,1,1,5,1,1,15-18 credits,Business,,Sometimes,I plan meals ahead of time,Not at all constrained,Moderately important
Yes,Yes,No,Chicken Strips,Promoter,10,"Feel better, same convenience",Price,Detractor,4,8,8,10,1,10,0,2,2,3,0,15-18 credits,Business,,Never,"I sometimes plan, but often decide as I go",3,Extremely important
Yes,Yes,Yes,Taco Bell ,Passive,8,It cna be cold or hot ,if its healthy food and its in a container for several days it doesn’t sound appealing ,Detractor,6,10,4,6,3,6,2,1,4,1,2,15-18 credits,Business,,Never,"I sometimes plan, but often decide as I go",3,Very important
Yes,Yes,No,cafe rio burrito,Detractor,2,in a bowl,expensive,Promoter,10,2,2,60,60,60,0,0,60,0,1,15-18 credits,Business,,Sometimes,I often delay or skip meals due to time pressure,Extremely constrained,Very important
Yes,Yes,Yes,Burrito ,Promoter,10,On the go,Quality ,Detractor,0,10,6,5,2,5,0,5,2,5,0,15-18 credits,Business,,Sometimes,I often delay or skip meals due to time pressure,3,Extremely important
Yes,Yes,Yes,B,Detractor,5,Healthy and colorful,“Refrigerated protein” — makes me think of cold canned chicken or cubed ham which I usually dislike.,Passive,8,6,6,1,4,4,1,0,5,1,2,12-14 credits,Business,,About half the time,I usually decide in the moment based on convenience,4,Moderately important
